Lead_ID,Company_Name,Region,Product_Category,Units_Ordered,Unit_Price,Lead_Source,Lead_Date,Follow_Up_Date,Sales_Stage,Salesperson_ID,Customer_Type,Is_Converted,Conversion_Time_Days,Total_Revenue,Days_to_follow_up,Lead_Month,Business_Type,Years_In_Operation,Region_India,Employees_Count,Annual_Vehicle_Fleet,Uses_Digital_Inventory,Preferred_Contact_Channel,Decision_Maker_Level,Current_Supplier_Type,Monthly_Spend_Parts_INR,Top_Product_Category,Average_Order_Frequency,Delivery_Speed_Importance,Quality_Certification_Priority,Key_Pain_Point,Open_To_Private_Label,Sustainability_Interest,Payment_Terms_Preference,Willing_To_Trial_NewVendor,Trial_Quantity_Units,Max_Discount_Required_Percent,Expected_Monthly_Spend_NewVendor_INR,Lead_Source_Survey,CRM_Engagement_Score
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Odom PLC,East,Steering,96.0,1120.97,Website,2024-02-07,2024-03-03,Quoted,1010,Fleet Owner,1,8.0,107613.12,25,02-2024,Fleet Owner,27,East,<10,255,No,WhatsApp,Manager,Local Distributor,118000.0,Engine,Monthly,2,4,Price Volatility,No,4,Cash-on-Delivery,Undecided,12,9,120000.0,LinkedIn,5
23b8c1e9-3924-46de-beb1-3b9046685257,Gutierrez LLC,West,Engine,11.0,507.66,Website,2024-02-08,2024-02-10,Inquiry,1020,Workshop,0,,5584.26,2,02-2024,Workshop,2,North-East,<10,0,Yes,WhatsApp,Procurement Officer,Online Marketplace,36000.0,Filters,Bi-weekly,3,2,Quality Variance,Maybe,5,Financing,No,0,10,29000.0,Trade Fair,3
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,Hawkins PLC,South,Filters,39.0,985.01,Trade Fair,2024-06-01,2024-06-11,Inquiry,1005,Reseller,0,,38415.39,10,06-2024,Fleet Owner,12,South,51-200,335,No,WhatsApp,Manager,Local Distributor,58000.0,Engine,Ad-hoc,1,4,Warranty Issues,No,1,Net-30,Undecided,6,21,56000.0,Trade Fair,7
972a8469-1641-4f82-8b9d-2434e465e150,"Buck, Garrett and Simmons",West,Transmission,59.0,622.94,Cold Call,2024-04-25,2024-05-10,Closed Lost,1003,Reseller,1,12.0,36753.46000000001,15,04-2024,Parts Reseller,14,South,51-200,0,Yes,In-app Portal,Procurement Officer,OEM,98000.0,Suspension,Ad-hoc,1,2,Slow Delivery,Yes,5,Financing,Undecided,12,17,97000.0,Referral,4
17fc695a-07a0-4a6e-8822-e8f36c031199,Williams-Cooper,West,Electrical,96.0,773.4,Referral,2024-01-02,2024-02-01,Negotiation,1002,Workshop,1,3.0,74246.4,30,01-2024,Workshop,24,Central,>200,0,Yes,Email,Procurement Officer,OEM,39000.0,Suspension,Monthly,3,1,Slow Delivery,No,5,Net-15,No,0,14,33000.0,Company Website,6
9a1de644-815e-46d1-bb8f-aa1837f8a88b,"Powers, Floyd and Flores",East,Electrical,18.0,338.86,Cold Call,2024-01-12,2024-01-24,Negotiation,1003,Fleet Owner,1,8.0,6099.4800000000005,12,01-2024,OEM Dealer,4,West,>200,0,Yes,Phone,Manager,Local Distributor,177000.0,Electrical,Monthly,4,3,Stock-outs,Yes,3,Net-30,Yes,38,6,231000.0,Company Website,4
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,Russell-Evans,West,Engine,14.0,1340.81,Website,2024-01-05,2024-01-17,Closed Lost,1014,Workshop,1,11.0,18771.34,12,01-2024,Fleet Owner,14,East,11-50,263,No,In-app Portal,Technician,Online Marketplace,117000.0,Body,Bi-weekly,2,1,Warranty Issues,Maybe,5,Pre-paid,Yes,10,10,134000.0,Trade Fair,9
6b65a6a4-8b81-48f6-b38a-088ca65ed389,Webster Group,East,Brakes,84.0,466.74,Cold Call,2024-04-25,2024-05-01,Closed Lost,1020,Fleet Owner,0,,39206.16,6,04-2024,Fleet Owner,5,South,>200,246,Yes,Email,Technician,OEM,72000.0,Suspension,Bi-weekly,2,1,Price Volatility,Yes,2,Pre-paid,No,0,0,61000.0,Trade Fair,9
47378190-96da-4dac-b2ff-5d2a386ecbe0,Atkinson LLC,North,Transmission,20.0,583.29,Referral,2024-02-23,2024-03-18,Negotiation,1011,Workshop,1,12.0,11665.8,24,02-2024,Workshop,24,North,51-200,0,Yes,Phone,Technician,Local Distributor,39000.0,Electrical,Weekly,1,1,Slow Delivery,Maybe,4,Cash-on-Delivery,No,0,18,35000.0,Company Website,5
c241330b-01a9-471f-9e8a-774bcf36d58b,"Thomas, Ford and Brown",North,Electrical,58.0,134.23,Referral,2024-04-07,2024-04-22,Closed Lost,1002,Workshop,0,,7785.339999999999,15,04-2024,Parts Reseller,19,East,11-50,0,No,Email,Owner,Online Marketplace,72000.0,Brakes,Weekly,2,2,Quality Variance,Yes,4,Net-15,Yes,38,23,88000.0,Referral,8
